state_alpha,season,week,cal_week,week_ending,EXCELLENT,FAIR,GOOD,POOR,VERY POOR,INDEX,GE,PVP
AL,2016,10,17,2016-05-01,21.0,11.0,66.0,2.0,0.0,406.0,87.0,2.0
AL,2016,11,18,2016-05-08,8.0,22.0,66.0,4.0,0.0,378.0,74.0,4.0
AL,2016,12,19,2016-05-15,7.0,18.0,68.0,7.0,0.0,375.0,75.0,7.0
AL,2016,13,20,2016-05-22,17.0,18.0,54.0,11.0,0.0,377.0,71.0,11.0
AL,2016,14,21,2016-05-29,13.0,23.0,53.0,11.0,0.0,368.0,66.0,11.0
AL,2016,15,22,2016-06-05,9.0,24.0,49.0,18.0,0.0,349.0,58.0,18.0
AL,2016,16,23,2016-06-12,4.0,26.0,48.0,17.0,5.0,329.0,52.0,22.0
AL,2016,17,24,2016-06-19,3.0,30.0,45.0,16.0,6.0,323.0,48.0,22.0
AL,2016,18,25,2016-06-26,1.0,29.0,46.0,17.0,7.0,317.0,47.0,24.0
AL,2016,19,26,2016-07-03,1.0,31.0,37.0,21.0,10.0,298.0,38.0,31.0
AL,2016,20,27,2016-07-10,0.0,34.0,36.0,19.0,11.0,295.0,36.0,30.0
AL,2016,21,28,2016-07-17,2.0,32.0,34.0,20.0,12.0,294.0,36.0,32.0
AL,2016,22,29,2016-07-24,2.0,32.0,31.0,23.0,12.0,288.0,33.0,35.0
AL,2016,23,30,2016-07-31,1.0,35.0,33.0,19.0,12.0,292.0,34.0,31.0
AL,2016,24,31,2016-08-07,2.0,33.0,31.0,20.0,14.0,287.0,33.0,34.0
AL,2016,25,32,2016-08-14,2.0,34.0,30.0,20.0,14.0,286.0,32.0,34.0
AL,2016,26,33,2016-08-21,2.0,34.0,30.0,20.0,14.0,286.0,32.0,34.0
AL,2016,27,34,2016-08-28,1.0,33.0,28.0,22.0,16.0,276.0,29.0,38.0
AL,2016,28,35,2016-09-04,2.0,34.0,30.0,21.0,13.0,287.0,32.0,34.0
AL,2016,29,36,2016-09-11,3.0,34.0,29.0,21.0,13.0,288.0,32.0,34.0
AL,2017,11,18,2017-05-07,9.0,10.0,80.0,1.0,0.0,397.0,89.0,1.0
AL,2017,12,19,2017-05-14,10.0,11.0,78.0,1.0,0.0,397.0,88.0,1.0
AL,2017,13,20,2017-05-21,8.0,12.0,80.0,0.0,0.0,396.0,88.0,0.0
AL,2017,14,21,2017-05-28,10.0,7.0,83.0,0.0,0.0,403.0,93.0,0.0
AL,2017,15,22,2017-06-04,16.0,9.0,75.0,0.0,0.0,407.0,91.0,0.0
AL,2017,16,23,2017-06-11,15.0,7.0,77.0,1.0,0.0,406.0,92.0,1.0
AL,2017,17,24,2017-06-18,19.0,9.0,72.0,0.0,0.0,410.0,91.0,0.0
AL,2017,18,25,2017-06-25,22.0,9.0,69.0,0.0,0.0,413.0,91.0,0.0
AL,2017,19,26,2017-07-02,28.0,9.0,63.0,0.0,0.0,419.0,91.0,0.0
AL,2017,20,27,2017-07-09,22.0,6.0,72.0,0.0,0.0,416.0,94.0,0.0
AL,2017,21,28,2017-07-16,26.0,6.0,67.0,1.0,0.0,418.0,93.0,1.0
AL,2017,22,29,2017-07-23,26.0,6.0,68.0,0.0,0.0,420.0,94.0,0.0
AL,2017,23,30,2017-07-30,37.0,6.0,57.0,0.0,0.0,431.0,94.0,0.0
AL,2017,24,31,2017-08-06,35.0,8.0,57.0,0.0,0.0,427.0,92.0,0.0
AL,2017,25,32,2017-08-13,43.0,6.0,50.0,1.0,0.0,435.0,93.0,1.0
AL,2017,26,33,2017-08-20,39.0,6.0,54.0,1.0,0.0,431.0,93.0,1.0
AL,2017,27,34,2017-08-27,44.0,8.0,47.0,1.0,0.0,434.0,91.0,1.0
AL,2017,28,35,2017-09-03,52.0,8.0,40.0,0.0,0.0,444.0,92.0,0.0
AL,2018,11,18,2018-05-06,10.0,8.0,82.0,0.0,0.0,402.0,92.0,0.0
AL,2018,12,19,2018-05-13,11.0,16.0,72.0,1.0,0.0,393.0,83.0,1.0
AL,2018,13,20,2018-05-20,12.0,17.0,68.0,2.0,1.0,388.0,80.0,3.0
AL,2018,14,21,2018-05-27,12.0,18.0,68.0,1.0,1.0,389.0,80.0,2.0
AL,2018,15,22,2018-06-03,14.0,10.0,74.0,1.0,1.0,399.0,88.0,2.0
AL,2018,16,23,2018-06-10,15.0,11.0,73.0,1.0,0.0,402.0,88.0,1.0
AL,2018,17,24,2018-06-17,19.0,12.0,68.0,1.0,0.0,405.0,87.0,1.0
AL,2018,18,25,2018-06-24,20.0,7.0,73.0,0.0,0.0,413.0,93.0,0.0
AL,2018,19,26,2018-07-01,23.0,8.0,69.0,0.0,0.0,415.0,92.0,0.0
AL,2018,20,27,2018-07-08,30.0,10.0,59.0,1.0,0.0,418.0,89.0,1.0
AL,2018,21,28,2018-07-15,33.0,8.0,59.0,0.0,0.0,425.0,92.0,0.0
AL,2018,22,29,2018-07-22,33.0,8.0,59.0,0.0,0.0,425.0,92.0,0.0
AL,2018,23,30,2018-07-29,31.0,9.0,60.0,0.0,0.0,422.0,91.0,0.0
AL,2018,24,31,2018-08-05,29.0,8.0,63.0,0.0,0.0,421.0,92.0,0.0
AL,2018,25,32,2018-08-12,29.0,11.0,60.0,0.0,0.0,418.0,89.0,0.0
AL,2018,26,33,2018-08-19,28.0,10.0,62.0,0.0,0.0,418.0,90.0,0.0
AL,2018,27,34,2018-08-26,31.0,11.0,58.0,0.0,0.0,420.0,89.0,0.0
AL,2018,28,35,2018-09-02,31.0,9.0,60.0,0.0,0.0,422.0,91.0,0.0
AL,2018,29,36,2018-09-09,32.0,9.0,59.0,0.0,0.0,423.0,91.0,0.0
AL,2019,10,17,2019-04-28,6.0,15.0,77.0,1.0,1.0,386.0,83.0,2.0
AL,2019,11,18,2019-05-05,6.0,8.0,86.0,0.0,0.0,398.0,92.0,0.0
AL,2019,12,19,2019-05-12,9.0,10.0,81.0,0.0,0.0,399.0,90.0,0.0
AL,2019,13,20,2019-05-19,8.0,11.0,81.0,0.0,0.0,397.0,89.0,0.0
AL,2019,14,21,2019-05-26,2.0,22.0,72.0,3.0,1.0,371.0,74.0,4.0
AL,2019,15,22,2019-06-02,2.0,38.0,45.0,10.0,5.0,329.0,47.0,15.0
AL,2019,16,23,2019-06-09,2.0,36.0,49.0,10.0,3.0,337.0,51.0,13.0
AL,2019,17,24,2019-06-16,3.0,29.0,51.0,10.0,7.0,333.0,54.0,17.0
AL,2019,18,25,2019-06-23,5.0,27.0,56.0,7.0,5.0,349.0,61.0,12.0
AL,2019,19,26,2019-06-30,4.0,26.0,56.0,6.0,8.0,342.0,60.0,14.0
AL,2019,20,27,2019-07-07,3.0,25.0,61.0,4.0,7.0,349.0,64.0,11.0
AL,2019,21,28,2019-07-14,4.0,27.0,57.0,5.0,7.0,346.0,61.0,12.0
AL,2019,22,29,2019-07-21,14.0,22.0,52.0,5.0,7.0,361.0,66.0,12.0
AL,2019,23,30,2019-07-28,17.0,21.0,49.0,6.0,7.0,363.0,66.0,13.0
AL,2019,24,31,2019-08-04,17.0,20.0,54.0,7.0,2.0,377.0,71.0,9.0
AL,2019,25,32,2019-08-11,18.0,20.0,51.0,8.0,3.0,373.0,69.0,11.0
AL,2019,26,33,2019-08-18,18.0,20.0,50.0,6.0,6.0,368.0,68.0,12.0
AL,2019,27,34,2019-08-25,22.0,20.0,44.0,7.0,7.0,367.0,66.0,14.0
AL,2019,28,35,2019-09-01,22.0,18.0,48.0,5.0,7.0,373.0,70.0,12.0
AL,2019,29,36,2019-09-08,23.0,17.0,46.0,6.0,8.0,370.0,69.0,14.0
AL,2020,11,18,2020-05-03,6.0,16.0,78.0,0.0,0.0,390.0,84.0,0.0
AL,2020,12,19,2020-05-10,4.0,14.0,82.0,0.0,0.0,390.0,86.0,0.0
AL,2020,13,20,2020-05-17,4.0,15.0,77.0,4.0,0.0,381.0,81.0,4.0
AL,2020,14,21,2020-05-24,1.0,14.0,82.0,3.0,0.0,381.0,83.0,3.0
AL,2020,15,22,2020-05-31,3.0,12.0,84.0,1.0,0.0,389.0,87.0,1.0
AL,2020,16,23,2020-06-07,6.0,13.0,81.0,0.0,0.0,393.0,87.0,0.0
AL,2020,17,24,2020-06-14,12.0,14.0,71.0,3.0,0.0,392.0,83.0,3.0
AL,2020,18,25,2020-06-21,10.0,15.0,72.0,3.0,0.0,389.0,82.0,3.0
AL,2020,19,26,2020-06-28,19.0,13.0,66.0,2.0,0.0,402.0,85.0,2.0
AL,2020,20,27,2020-07-05,23.0,11.0,65.0,1.0,0.0,410.0,88.0,1.0
AL,2020,21,28,2020-07-12,22.0,7.0,71.0,0.0,0.0,415.0,93.0,0.0
AL,2020,22,29,2020-07-19,25.0,6.0,69.0,0.0,0.0,419.0,94.0,0.0
AL,2020,23,30,2020-07-26,20.0,9.0,70.0,1.0,0.0,409.0,90.0,1.0
AL,2020,24,31,2020-08-02,18.0,10.0,72.0,0.0,0.0,408.0,90.0,0.0
AL,2020,25,32,2020-08-09,21.0,12.0,66.0,1.0,0.0,407.0,87.0,1.0
