state_alpha,season,week,cal_week,week_ending,PROGRESS
AL,2016,6,13,2016-04-03,2.625
AL,2016,7,14,2016-04-10,7.25
AL,2016,8,15,2016-04-17,12.5
AL,2016,9,16,2016-04-24,16.375
AL,2016,10,17,2016-05-01,20.875
AL,2016,11,18,2016-05-08,23.625
AL,2016,12,19,2016-05-15,24.25
AL,2016,14,21,2016-05-29,24.5
AL,2016,15,22,2016-06-05,26.625
AL,2016,16,23,2016-06-12,29.875
AL,2016,17,24,2016-06-19,32.25
AL,2016,18,25,2016-06-26,34.25
AL,2016,19,26,2016-07-03,35.75
AL,2016,20,27,2016-07-10,36.125
AL,2016,21,28,2016-07-17,38.75
AL,2016,22,29,2016-07-24,43.75
AL,2016,23,30,2016-07-31,45.125
AL,2016,24,31,2016-08-07,47.125
AL,2016,25,32,2016-08-14,48.875
AL,2016,26,33,2016-08-21,50.25
AL,2016,27,34,2016-08-28,51.25
AL,2016,28,35,2016-09-04,52.625
AL,2016,29,36,2016-09-11,55.75
AL,2016,30,37,2016-09-18,58.375
AL,2016,31,38,2016-09-25,59.375
AL,2016,32,39,2016-10-02,59.75
AL,2016,33,40,2016-10-09,60.125
AL,2017,6,13,2017-04-02,1.625
AL,2017,7,14,2017-04-09,5.875
AL,2017,8,15,2017-04-16,10.875
AL,2017,9,16,2017-04-23,16.75
AL,2017,10,17,2017-04-30,20.625
AL,2017,11,18,2017-05-07,21.75
AL,2017,12,19,2017-05-14,23.25
AL,2017,13,20,2017-05-21,24.375
AL,2017,14,21,2017-05-28,24.625
AL,2017,15,22,2017-06-04,27.0
AL,2017,16,23,2017-06-11,30.375
AL,2017,17,24,2017-06-18,32.625
AL,2017,18,25,2017-06-25,34.625
AL,2017,19,26,2017-07-02,35.625
AL,2017,20,27,2017-07-09,36.5
AL,2017,21,28,2017-07-16,38.375
AL,2017,22,29,2017-07-23,42.375
AL,2017,23,30,2017-07-30,44.75
AL,2017,24,31,2017-08-06,46.125
AL,2017,25,32,2017-08-13,47.75
AL,2017,26,33,2017-08-20,50.125
AL,2017,27,34,2017-08-27,52.0
AL,2017,28,35,2017-09-03,54.5
AL,2017,29,36,2017-09-10,56.75
AL,2017,30,37,2017-09-17,57.75
AL,2017,31,38,2017-09-24,59.375
AL,2017,32,39,2017-10-01,59.875
AL,2017,33,40,2017-10-08,60.375
AL,2018,6,13,2018-04-01,2.875
AL,2018,7,14,2018-04-08,5.5
AL,2018,8,15,2018-04-15,9.0
AL,2018,9,16,2018-04-22,11.75
AL,2018,10,17,2018-04-29,15.125
AL,2018,11,18,2018-05-06,19.375
AL,2018,12,19,2018-05-13,22.125
AL,2018,13,20,2018-05-20,23.875
AL,2018,14,21,2018-05-27,24.0
AL,2018,15,22,2018-06-03,24.75
AL,2018,16,23,2018-06-10,26.375
AL,2018,17,24,2018-06-17,28.375
AL,2018,18,25,2018-06-24,32.625
AL,2018,19,26,2018-07-01,33.875
AL,2018,20,27,2018-07-08,35.125
AL,2018,21,28,2018-07-15,35.875
AL,2018,22,29,2018-07-22,40.875
AL,2018,23,30,2018-07-29,42.5
AL,2018,24,31,2018-08-05,44.875
AL,2018,25,32,2018-08-12,46.0
AL,2018,26,33,2018-08-19,48.125
AL,2018,27,34,2018-08-26,51.25
AL,2018,28,35,2018-09-02,54.0
AL,2018,29,36,2018-09-09,55.875
AL,2018,30,37,2018-09-16,57.625
AL,2018,31,38,2018-09-23,58.625
AL,2018,32,39,2018-09-30,59.25
AL,2018,33,40,2018-10-07,59.625
AL,2018,34,41,2018-10-14,60.0
AL,2019,6,13,2019-03-31,4.0
AL,2019,7,14,2019-04-07,7.875
AL,2019,8,15,2019-04-14,11.625
AL,2019,9,16,2019-04-21,16.375
AL,2019,10,17,2019-04-28,19.625
AL,2019,11,18,2019-05-05,22.375
AL,2019,12,19,2019-05-12,23.5
AL,2019,13,20,2019-05-19,24.25
AL,2019,14,21,2019-05-26,24.5
AL,2019,15,22,2019-06-02,25.5
AL,2019,16,23,2019-06-09,28.25
