state_alpha,season,week,cal_week,week_ending,EXCELLENT,FAIR,GOOD,POOR,VERY POOR,INDEX,GE,PVP
AL,2016,10,21,2016-05-29,3.0,60.0,37.0,0.0,0.0,343.0,40.0,0.0
AL,2016,11,22,2016-06-05,3.0,51.0,44.0,2.0,0.0,348.0,47.0,2.0
AL,2016,12,23,2016-06-12,3.0,50.0,44.0,3.0,0.0,347.0,47.0,3.0
AL,2016,13,24,2016-06-19,4.0,48.0,44.0,4.0,0.0,348.0,48.0,4.0
AL,2016,14,25,2016-06-26,4.0,50.0,42.0,3.0,1.0,345.0,46.0,4.0
AL,2016,15,26,2016-07-03,4.0,51.0,40.0,4.0,1.0,342.0,44.0,5.0
AL,2016,16,27,2016-07-10,4.0,49.0,42.0,4.0,1.0,344.0,46.0,5.0
AL,2016,17,28,2016-07-17,5.0,47.0,43.0,4.0,1.0,347.0,48.0,5.0
AL,2016,18,29,2016-07-24,5.0,47.0,43.0,4.0,1.0,347.0,48.0,5.0
AL,2016,19,30,2016-07-31,6.0,46.0,42.0,5.0,1.0,347.0,48.0,6.0
AL,2016,20,31,2016-08-07,7.0,45.0,42.0,5.0,1.0,349.0,49.0,6.0
AL,2016,21,32,2016-08-14,8.0,43.0,42.0,5.0,2.0,349.0,50.0,7.0
AL,2016,22,33,2016-08-21,8.0,42.0,43.0,5.0,2.0,350.0,51.0,7.0
AL,2016,23,34,2016-08-28,9.0,40.0,44.0,5.0,2.0,353.0,53.0,7.0
AL,2016,24,35,2016-09-04,10.0,42.0,43.0,4.0,1.0,357.0,53.0,5.0
AL,2016,25,36,2016-09-11,10.0,42.0,44.0,3.0,1.0,359.0,54.0,4.0
AL,2016,26,37,2016-09-18,9.0,42.0,44.0,4.0,1.0,356.0,53.0,5.0
AL,2016,27,38,2016-09-25,10.0,42.0,43.0,5.0,0.0,358.0,53.0,5.0
AL,2016,28,39,2016-10-02,10.0,42.0,43.0,4.0,1.0,357.0,53.0,5.0
AL,2016,29,40,2016-10-09,10.0,42.0,43.0,4.0,1.0,357.0,53.0,5.0
AL,2016,30,41,2016-10-16,10.0,42.0,43.0,4.0,1.0,357.0,53.0,5.0
AL,2016,31,42,2016-10-23,10.0,42.0,43.0,4.0,1.0,357.0,53.0,5.0
AL,2016,32,43,2016-10-30,10.0,42.0,43.0,4.0,1.0,357.0,53.0,5.0
AL,2016,33,44,2016-11-06,10.0,42.0,43.0,4.0,1.0,357.0,53.0,5.0
AL,2016,34,45,2016-11-13,10.0,42.0,43.0,4.0,1.0,357.0,53.0,5.0
AL,2016,35,46,2016-11-20,10.0,42.0,43.0,4.0,1.0,357.0,53.0,5.0
AL,2016,36,47,2016-11-27,10.0,42.0,43.0,4.0,1.0,357.0,53.0,5.0
AL,2017,9,20,2017-05-21,4.0,29.0,64.0,3.0,0.0,369.0,68.0,3.0
AL,2017,10,21,2017-05-28,3.0,27.0,64.0,6.0,0.0,364.0,67.0,6.0
AL,2017,11,22,2017-06-04,4.0,31.0,63.0,2.0,0.0,369.0,67.0,2.0
AL,2017,12,23,2017-06-11,4.0,27.0,67.0,2.0,0.0,373.0,71.0,2.0
AL,2017,13,24,2017-06-18,3.0,31.0,61.0,5.0,0.0,362.0,64.0,5.0
AL,2017,14,25,2017-06-25,3.0,37.0,52.0,8.0,0.0,350.0,55.0,8.0
AL,2017,15,26,2017-07-02,2.0,42.0,47.0,9.0,0.0,342.0,49.0,9.0
AL,2017,16,27,2017-07-09,3.0,39.0,48.0,9.0,1.0,343.0,51.0,10.0
AL,2017,17,28,2017-07-16,4.0,36.0,49.0,9.0,2.0,344.0,53.0,11.0
AL,2017,18,29,2017-07-23,5.0,55.0,30.0,8.0,2.0,328.0,35.0,10.0
AL,2017,19,30,2017-07-30,8.0,46.0,35.0,10.0,1.0,339.0,43.0,11.0
AL,2017,20,31,2017-08-06,12.0,30.0,47.0,10.0,1.0,359.0,59.0,11.0
AL,2017,21,32,2017-08-13,11.0,23.0,55.0,8.0,3.0,363.0,66.0,11.0
AL,2017,22,33,2017-08-20,8.0,32.0,52.0,8.0,0.0,360.0,60.0,8.0
AL,2017,23,34,2017-08-27,8.0,23.0,60.0,9.0,0.0,367.0,68.0,9.0
AL,2017,24,35,2017-09-03,14.0,21.0,56.0,9.0,0.0,375.0,70.0,9.0
AL,2017,25,36,2017-09-10,14.0,22.0,54.0,9.0,1.0,371.0,68.0,10.0
AL,2017,26,37,2017-09-17,14.0,25.0,52.0,9.0,0.0,371.0,66.0,9.0
AL,2017,27,38,2017-09-24,13.0,34.0,46.0,7.0,0.0,365.0,59.0,7.0
AL,2017,28,39,2017-10-01,12.0,39.0,40.0,8.0,1.0,354.0,52.0,9.0
AL,2017,29,40,2017-10-08,14.0,33.0,45.0,8.0,0.0,365.0,59.0,8.0
AL,2017,30,41,2017-10-15,12.0,35.0,45.0,8.0,0.0,361.0,57.0,8.0
