state_alpha,season,week,cal_week,week_ending,PROGRESS
AL,2016,2,13,2016-04-03,0.0
AL,2016,3,14,2016-04-10,0.0
AL,2016,4,15,2016-04-17,0.0
AL,2016,5,16,2016-04-24,2.0
AL,2016,6,17,2016-05-01,3.142857142857143
AL,2016,7,18,2016-05-08,6.285714285714286
AL,2016,8,19,2016-05-15,8.0
AL,2016,9,20,2016-05-22,10.142857142857142
AL,2016,10,21,2016-05-29,11.142857142857142
AL,2016,11,22,2016-06-05,13.285714285714286
AL,2016,12,23,2016-06-12,15.857142857142858
AL,2016,13,24,2016-06-19,19.285714285714285
AL,2016,14,25,2016-06-26,21.714285714285715
AL,2016,15,26,2016-07-03,26.571428571428573
AL,2016,16,27,2016-07-10,31.428571428571427
AL,2016,17,28,2016-07-17,34.0
AL,2016,18,29,2016-07-24,36.42857142857143
AL,2016,19,30,2016-07-31,39.142857142857146
AL,2016,20,31,2016-08-07,40.714285714285715
AL,2016,21,32,2016-08-14,42.142857142857146
AL,2016,22,33,2016-08-21,44.142857142857146
AL,2016,23,34,2016-08-28,46.142857142857146
AL,2016,24,35,2016-09-04,48.714285714285715
AL,2016,25,36,2016-09-11,51.285714285714285
AL,2016,26,37,2016-09-18,53.857142857142854
AL,2016,27,38,2016-09-25,55.42857142857143
AL,2016,28,39,2016-10-02,56.57142857142857
AL,2016,29,40,2016-10-09,58.857142857142854
AL,2016,30,41,2016-10-16,63.0
AL,2016,31,42,2016-10-23,64.85714285714286
AL,2016,32,43,2016-10-30,66.0
AL,2016,33,44,2016-11-06,67.42857142857143
AL,2016,34,45,2016-11-13,67.85714285714286
AL,2016,35,46,2016-11-20,69.14285714285714
AL,2016,36,47,2016-11-27,69.71428571428571
AL,2017,2,13,2017-04-02,0.0
AL,2017,3,14,2017-04-09,0.0
AL,2017,4,15,2017-04-16,0.0
AL,2017,5,16,2017-04-23,0.5714285714285714
AL,2017,6,17,2017-04-30,1.5714285714285714
AL,2017,7,18,2017-05-07,5.0
AL,2017,8,19,2017-05-14,8.428571428571429
AL,2017,9,20,2017-05-21,10.714285714285714
AL,2017,10,21,2017-05-28,12.0
AL,2017,11,22,2017-06-04,14.0
AL,2017,12,23,2017-06-11,15.142857142857142
AL,2017,13,24,2017-06-18,16.428571428571427
AL,2017,14,25,2017-06-25,20.0
AL,2017,15,26,2017-07-02,23.285714285714285
AL,2017,16,27,2017-07-09,26.428571428571427
AL,2017,17,28,2017-07-16,29.857142857142858
AL,2017,18,29,2017-07-23,31.714285714285715
AL,2017,19,30,2017-07-30,33.285714285714285
AL,2017,20,31,2017-08-06,38.142857142857146
AL,2017,21,32,2017-08-13,40.857142857142854
AL,2017,22,33,2017-08-20,42.57142857142857
AL,2017,23,34,2017-08-27,43.714285714285715
AL,2017,24,35,2017-09-03,45.857142857142854
AL,2017,25,36,2017-09-10,46.57142857142857
AL,2017,26,37,2017-09-17,49.714285714285715
AL,2017,27,38,2017-09-24,51.0
AL,2017,28,39,2017-10-01,53.0
AL,2017,29,40,2017-10-08,57.0
AL,2017,30,41,2017-10-15,59.0
AL,2017,31,42,2017-10-22,61.142857142857146
AL,2017,32,43,2017-10-29,62.857142857142854
AL,2017,33,44,2017-11-05,63.57142857142857
AL,2017,34,45,2017-11-12,65.42857142857143
AL,2017,35,46,2017-11-19,66.57142857142857
AL,2017,36,47,2017-11-26,67.42857142857143
AL,2018,2,13,2018-04-01,0.0
AL,2018,3,14,2018-04-08,0.0
AL,2018,4,15,2018-04-15,0.14285714285714285
AL,2018,5,16,2018-04-22,0.42857142857142855
AL,2018,6,17,2018-04-29,1.2857142857142858
AL,2018,7,18,2018-05-06,4.571428571428571
AL,2018,8,19,2018-05-13,7.857142857142857
AL,2018,9,20,2018-05-20,9.571428571428571
AL,2018,10,21,2018-05-27,10.857142857142858
AL,2018,11,22,2018-06-03,12.142857142857142
AL,2018,12,23,2018-06-10,14.142857142857142
AL,2018,13,24,2018-06-17,15.857142857142858
AL,2018,14,25,2018-06-24,18.571428571428573
AL,2018,15,26,2018-07-01,22.0
AL,2018,16,27,2018-07-08,27.285714285714285
AL,2018,17,28,2018-07-15,30.714285714285715
AL,2018,18,29,2018-07-22,34.42857142857143
AL,2018,19,30,2018-07-29,37.0
AL,2018,20,31,2018-08-05,38.142857142857146
AL,2018,21,32,2018-08-12,41.857142857142854
AL,2018,22,33,2018-08-19,44.0
AL,2018,23,34,2018-08-26,45.285714285714285
AL,2018,24,35,2018-09-02,47.42857142857143
AL,2018,25,36,2018-09-09,49.285714285714285
AL,2018,26,37,2018-09-16,51.142857142857146
AL,2018,27,38,2018-09-23,52.857142857142854
AL,2018,28,39,2018-09-30,54.142857142857146
AL,2018,29,40,2018-10-07,56.857142857142854
AL,2018,30,41,2018-10-14,58.42857142857143
AL,2018,31,42,2018-10-21,60.714285714285715
AL,2018,32,43,2018-10-28,62.285714285714285
AL,2018,33,44,2018-11-04,65.0
AL,2018,34,45,2018-11-11,65.85714285714286
AL,2018,35,46,2018-11-18,66.42857142857143
AL,2018,36,47,2018-11-25,67.0
AL,2019,2,13,2019-03-31,0.0
AL,2019,3,14,2019-04-07,0.0
AL,2019,4,15,2019-04-14,0.14285714285714285
AL,2019,5,16,2019-04-21,0.2857142857142857
AL,2019,6,17,2019-04-28,0.8571428571428571
AL,2019,7,18,2019-05-05,4.0
AL,2019,8,19,2019-05-12,7.0
AL,2019,9,20,2019-05-19,10.285714285714286
AL,2019,10,21,2019-05-26,12.571428571428571
AL,2019,11,22,2019-06-02,13.571428571428571
AL,2019,12,23,2019-06-09,15.285714285714286
AL,2019,13,24,2019-06-16,18.0
AL,2019,14,25,2019-06-23,20.714285714285715
AL,2019,15,26,2019-06-30,24.0
AL,2019,16,27,2019-07-07,27.142857142857142
AL,2019,17,28,2019-07-14,30.428571428571427
AL,2019,18,29,2019-07-21,33.857142857142854
AL,2019,19,30,2019-07-28,37.142857142857146
AL,2019,20,31,2019-08-04,38.857142857142854
AL,2019,21,32,2019-08-11,40.42857142857143
AL,2019,22,33,2019-08-18,42.714285714285715
AL,2019,23,34,2019-08-25,45.714285714285715
AL,2019,24,35,2019-09-01,48.714285714285715
AL,2019,25,36,2019-09-08,50.0
AL,2019,26,37,2019-09-15,52.0
AL,2019,27,38,2019-09-22,54.0
AL,2019,28,39,2019-09-29,56.142857142857146
AL,2019,29,40,2019-10-06,58.57142857142857
AL,2019,30,41,2019-10-13,60.57142857142857
AL,2019,31,42,2019-10-20,62.57142857142857
AL,2019,32,43,2019-10-27,64.57142857142857
AL,2019,33,44,2019-11-03,66.0
AL,2019,34,45,2019-11-10,67.14285714285714
AL,2019,35,46,2019-11-17,68.14285714285714
AL,2019,36,47,2019-11-24,69.0
AL,2019,37,48,2019-12-01,69.28571428571429
AL,2019,38,49,2019-12-08,69.57142857142857
AL,2020,3,14,2020-04-05,0.0
AL,2020,4,15,2020-04-12,0.0
AL,2020,5,16,2020-04-19,0.7142857142857143
AL,2020,6,17,2020-04-26,1.2857142857142858
AL,2020,7,18,2020-05-03,2.857142857142857
AL,2020,8,19,2020-05-10,5.857142857142857
AL,2020,9,20,2020-05-17,9.0
AL,2020,10,21,2020-05-24,11.285714285714286
AL,2020,11,22,2020-05-31,13.142857142857142
AL,2020,12,23,2020-06-07,14.428571428571429
AL,2020,13,24,2020-06-14,15.714285714285714
AL,2020,14,25,2020-06-21,18.428571428571427
AL,2020,15,26,2020-06-28,21.142857142857142
AL,2020,16,27,2020-07-05,25.428571428571427
AL,2020,17,28,2020-07-12,28.714285714285715
