state_alpha,season,week,cal_week,week_ending,EXCELLENT,FAIR,GOOD,POOR,VERY POOR,INDEX,GE,PVP
AL,2016,10,21,2016-05-29,0.0,37.0,62.0,1.0,0.0,361.0,62.0,1.0
AL,2016,11,22,2016-06-05,4.0,39.0,52.0,5.0,0.0,355.0,56.0,5.0
AL,2016,12,23,2016-06-12,5.0,38.0,51.0,6.0,0.0,355.0,56.0,6.0
AL,2016,13,24,2016-06-19,5.0,37.0,51.0,6.0,1.0,353.0,56.0,7.0
AL,2016,14,25,2016-06-26,2.0,40.0,49.0,7.0,2.0,342.0,51.0,9.0
AL,2016,15,26,2016-07-03,3.0,36.0,46.0,13.0,2.0,335.0,49.0,15.0
AL,2016,16,27,2016-07-10,2.0,37.0,44.0,14.0,3.0,328.0,46.0,17.0
AL,2016,17,28,2016-07-17,3.0,36.0,44.0,15.0,2.0,331.0,47.0,17.0
AL,2016,18,29,2016-07-24,3.0,35.0,47.0,14.0,1.0,337.0,50.0,15.0
AL,2016,19,30,2016-07-31,6.0,36.0,44.0,13.0,1.0,341.0,50.0,14.0
AL,2016,20,31,2016-08-07,7.0,35.0,45.0,12.0,1.0,345.0,52.0,13.0
AL,2016,21,32,2016-08-14,8.0,35.0,44.0,12.0,1.0,346.0,52.0,13.0
AL,2016,22,33,2016-08-21,9.0,35.0,45.0,11.0,0.0,352.0,54.0,11.0
AL,2016,23,34,2016-08-28,10.0,35.0,45.0,10.0,0.0,355.0,55.0,10.0
AL,2016,24,35,2016-09-04,10.0,35.0,44.0,11.0,0.0,353.0,54.0,11.0
AL,2016,25,36,2016-09-11,10.0,34.0,44.0,11.0,1.0,351.0,54.0,12.0
AL,2016,26,37,2016-09-18,10.0,35.0,43.0,11.0,1.0,350.0,53.0,12.0
AL,2016,27,38,2016-09-25,9.0,33.0,41.0,14.0,3.0,339.0,50.0,17.0
AL,2016,28,39,2016-10-02,8.0,35.0,40.0,14.0,3.0,336.0,48.0,17.0
AL,2016,29,40,2016-10-09,8.0,35.0,39.0,15.0,3.0,334.0,47.0,18.0
AL,2016,30,41,2016-10-16,6.0,37.0,36.0,17.0,4.0,323.0,42.0,21.0
AL,2017,9,20,2017-05-21,1.0,15.0,83.0,1.0,0.0,384.0,84.0,1.0
AL,2017,10,21,2017-05-28,6.0,8.0,84.0,2.0,0.0,394.0,90.0,2.0
AL,2017,11,22,2017-06-04,12.0,11.0,77.0,0.0,0.0,401.0,89.0,0.0
AL,2017,12,23,2017-06-11,7.0,11.0,81.0,1.0,0.0,394.0,88.0,1.0
AL,2017,13,24,2017-06-18,12.0,16.0,72.0,0.0,0.0,396.0,84.0,0.0
AL,2017,14,25,2017-06-25,7.0,14.0,78.0,1.0,0.0,391.0,85.0,1.0
AL,2017,15,26,2017-07-02,8.0,21.0,69.0,2.0,0.0,383.0,77.0,2.0
AL,2017,16,27,2017-07-09,9.0,12.0,77.0,1.0,1.0,392.0,86.0,2.0
AL,2017,17,28,2017-07-16,10.0,10.0,80.0,0.0,0.0,400.0,90.0,0.0
AL,2017,18,29,2017-07-23,11.0,13.0,74.0,1.0,1.0,393.0,85.0,2.0
AL,2017,19,30,2017-07-30,11.0,13.0,73.0,2.0,1.0,391.0,84.0,3.0
AL,2017,20,31,2017-08-06,15.0,11.0,73.0,1.0,0.0,402.0,88.0,1.0
AL,2017,21,32,2017-08-13,22.0,10.0,68.0,0.0,0.0,412.0,90.0,0.0
AL,2017,22,33,2017-08-20,26.0,12.0,61.0,1.0,0.0,412.0,87.0,1.0
AL,2017,23,34,2017-08-27,30.0,11.0,57.0,1.0,1.0,414.0,87.0,2.0
AL,2017,24,35,2017-09-03,34.0,10.0,56.0,0.0,0.0,424.0,90.0,0.0
AL,2017,25,36,2017-09-10,36.0,8.0,56.0,0.0,0.0,428.0,92.0,0.0
AL,2017,26,37,2017-09-17,29.0,10.0,60.0,1.0,0.0,417.0,89.0,1.0
AL,2017,27,38,2017-09-24,32.0,12.0,55.0,1.0,0.0,418.0,87.0,1.0
AL,2017,28,39,2017-10-01,29.0,13.0,56.0,2.0,0.0,412.0,85.0,2.0
AL,2017,29,40,2017-10-08,26.0,12.0,60.0,2.0,0.0,410.0,86.0,2.0
AL,2017,30,41,2017-10-15,25.0,11.0,63.0,1.0,0.0,412.0,88.0,1.0
AL,2017,31,42,2017-10-22,25.0,13.0,60.0,2.0,0.0,408.0,85.0,2.0
AL,2018,12,23,2018-06-10,10.0,5.0,85.0,0.0,0.0,405.0,95.0,0.0
AL,2018,13,24,2018-06-17,16.0,11.0,73.0,0.0,0.0,405.0,89.0,0.0
AL,2018,14,25,2018-06-24,15.0,7.0,78.0,0.0,0.0,408.0,93.0,0.0
AL,2018,15,26,2018-07-01,16.0,8.0,76.0,0.0,0.0,408.0,92.0,0.0
AL,2018,16,27,2018-07-08,22.0,9.0,69.0,0.0,0.0,413.0,91.0,0.0
AL,2018,17,28,2018-07-15,23.0,7.0,70.0,0.0,0.0,416.0,93.0,0.0
AL,2018,18,29,2018-07-22,22.0,6.0,72.0,0.0,0.0,416.0,94.0,0.0
AL,2018,19,30,2018-07-29,26.0,7.0,67.0,0.0,0.0,419.0,93.0,0.0
AL,2018,20,31,2018-08-05,18.0,8.0,74.0,0.0,0.0,410.0,92.0,0.0
AL,2018,21,32,2018-08-12,10.0,15.0,75.0,0.0,0.0,395.0,85.0,0.0
AL,2018,22,33,2018-08-19,6.0,17.0,77.0,0.0,0.0,389.0,83.0,0.0
AL,2018,23,34,2018-08-26,6.0,18.0,76.0,0.0,0.0,388.0,82.0,0.0
AL,2018,24,35,2018-09-02,6.0,19.0,75.0,0.0,0.0,387.0,81.0,0.0
AL,2018,25,36,2018-09-09,6.0,21.0,73.0,0.0,0.0,385.0,79.0,0.0
AL,2018,26,37,2018-09-16,5.0,22.0,72.0,1.0,0.0,381.0,77.0,1.0
AL,2018,27,38,2018-09-23,4.0,21.0,73.0,2.0,0.0,379.0,77.0,2.0
AL,2018,28,39,2018-09-30,4.0,23.0,71.0,2.0,0.0,377.0,75.0,2.0
AL,2018,29,40,2018-10-07,5.0,26.0,65.0,4.0,0.0,371.0,70.0,4.0
AL,2018,30,41,2018-10-14,8.0,30.0,59.0,3.0,0.0,372.0,67.0,3.0
AL,2018,31,42,2018-10-21,4.0,26.0,68.0,2.0,0.0,374.0,72.0,2.0
AL,2019,12,23,2019-06-09,1.0,14.0,81.0,3.0,1.0,378.0,82.0,4.0
AL,2019,13,24,2019-06-16,3.0,20.0,75.0,1.0,1.0,378.0,78.0,2.0
AL,2019,14,25,2019-06-23,4.0,14.0,79.0,2.0,1.0,383.0,83.0,3.0
AL,2019,15,26,2019-06-30,6.0,18.0,74.0,2.0,0.0,384.0,80.0,2.0
AL,2019,16,27,2019-07-07,4.0,14.0,80.0,2.0,0.0,386.0,84.0,2.0
AL,2019,17,28,2019-07-14,7.0,15.0,76.0,2.0,0.0,388.0,83.0,2.0
AL,2019,18,29,2019-07-21,8.0,14.0,77.0,1.0,0.0,392.0,85.0,1.0
AL,2019,19,30,2019-07-28,8.0,15.0,75.0,2.0,0.0,389.0,83.0,2.0
AL,2019,20,31,2019-08-04,13.0,14.0,72.0,1.0,0.0,397.0,85.0,1.0
AL,2019,21,32,2019-08-11,14.0,16.0,68.0,2.0,0.0,394.0,82.0,2.0
AL,2019,22,33,2019-08-18,16.0,16.0,66.0,2.0,0.0,396.0,82.0,2.0
AL,2019,23,34,2019-08-25,16.0,22.0,55.0,5.0,2.0,378.0,71.0,7.0
AL,2019,24,35,2019-09-01,24.0,17.0,57.0,2.0,0.0,403.0,81.0,2.0
AL,2019,25,36,2019-09-08,18.0,18.0,62.0,2.0,0.0,396.0,80.0,2.0
AL,2019,26,37,2019-09-15,19.0,18.0,61.0,2.0,0.0,397.0,80.0,2.0
AL,2019,27,38,2019-09-22,9.0,27.0,61.0,3.0,0.0,376.0,70.0,3.0
AL,2019,28,39,2019-09-29,6.0,31.0,60.0,3.0,0.0,369.0,66.0,3.0
AL,2019,29,40,2019-10-06,2.0,35.0,51.0,9.0,3.0,340.0,53.0,12.0
AL,2019,30,41,2019-10-13,4.0,43.0,40.0,9.0,4.0,331.0,44.0,13.0
AL,2020,13,24,2020-06-14,10.0,9.0,77.0,4.0,0.0,393.0,87.0,4.0
AL,2020,14,25,2020-06-21,7.0,10.0,81.0,2.0,0.0,393.0,88.0,2.0
AL,2020,15,26,2020-06-28,14.0,9.0,75.0,2.0,0.0,401.0,89.0,2.0
AL,2020,16,27,2020-07-05,17.0,6.0,75.0,2.0,0.0,407.0,92.0,2.0
AL,2020,17,28,2020-07-12,13.0,3.0,84.0,0.0,0.0,410.0,97.0,0.0
AL,2020,18,29,2020-07-19,10.0,7.0,83.0,0.0,0.0,403.0,93.0,0.0
AL,2020,19,30,2020-07-26,14.0,12.0,73.0,1.0,0.0,400.0,87.0,1.0
AL,2020,20,31,2020-08-02,13.0,7.0,80.0,0.0,0.0,406.0,93.0,0.0
AL,2020,21,32,2020-08-09,9.0,15.0,74.0,1.0,1.0,389.0,83.0,2.0
AL,2020,22,33,2020-08-16,9.0,11.0,80.0,0.0,0.0,398.0,89.0,0.0
