state_alpha,season,week,cal_week,week_ending,PROGRESS
AL,2016,6,17,2016-05-01,0.5555555555555556
AL,2016,7,18,2016-05-08,2.6666666666666665
AL,2016,8,19,2016-05-15,5.0
AL,2016,9,20,2016-05-22,8.777777777777779
AL,2016,10,21,2016-05-29,11.333333333333334
AL,2016,11,22,2016-06-05,13.666666666666666
AL,2016,12,23,2016-06-12,15.88888888888889
AL,2016,13,24,2016-06-19,19.333333333333332
AL,2016,14,25,2016-06-26,20.88888888888889
AL,2016,15,26,2016-07-03,24.22222222222222
AL,2016,16,27,2016-07-10,28.11111111111111
AL,2016,17,28,2016-07-17,32.333333333333336
AL,2016,18,29,2016-07-24,34.111111111111114
AL,2016,19,30,2016-07-31,38.44444444444444
AL,2016,20,31,2016-08-07,40.22222222222222
AL,2016,21,32,2016-08-14,41.44444444444444
AL,2016,22,33,2016-08-21,44.333333333333336
AL,2016,23,34,2016-08-28,45.333333333333336
AL,2016,24,35,2016-09-04,46.333333333333336
AL,2016,25,36,2016-09-11,47.44444444444444
AL,2016,26,37,2016-09-18,50.111111111111114
AL,2016,27,38,2016-09-25,53.77777777777778
AL,2016,28,39,2016-10-02,55.888888888888886
AL,2016,29,40,2016-10-09,58.0
AL,2016,30,41,2016-10-16,59.77777777777778
AL,2016,31,42,2016-10-23,61.333333333333336
AL,2016,32,43,2016-10-30,62.666666666666664
AL,2016,33,44,2016-11-06,63.111111111111114
AL,2016,34,45,2016-11-13,63.55555555555556
AL,2016,35,46,2016-11-20,64.0
AL,2017,6,17,2017-04-30,0.2222222222222222
AL,2017,7,18,2017-05-07,2.2222222222222223
AL,2017,8,19,2017-05-14,6.333333333333333
AL,2017,9,20,2017-05-21,9.88888888888889
AL,2017,10,21,2017-05-28,11.88888888888889
AL,2017,11,22,2017-06-04,14.333333333333334
AL,2017,12,23,2017-06-11,16.22222222222222
AL,2017,13,24,2017-06-18,19.333333333333332
AL,2017,14,25,2017-06-25,23.11111111111111
AL,2017,15,26,2017-07-02,25.333333333333332
AL,2017,16,27,2017-07-09,27.555555555555557
AL,2017,17,28,2017-07-16,28.77777777777778
AL,2017,18,29,2017-07-23,34.111111111111114
AL,2017,19,30,2017-07-30,35.77777777777778
AL,2017,20,31,2017-08-06,37.888888888888886
AL,2017,21,32,2017-08-13,38.888888888888886
AL,2017,22,33,2017-08-20,40.888888888888886
AL,2017,23,34,2017-08-27,42.888888888888886
AL,2017,24,35,2017-09-03,45.666666666666664
AL,2017,25,36,2017-09-10,46.666666666666664
AL,2017,26,37,2017-09-17,47.888888888888886
AL,2017,27,38,2017-09-24,49.888888888888886
AL,2017,28,39,2017-10-01,53.0
AL,2017,29,40,2017-10-08,56.0
AL,2017,30,41,2017-10-15,57.666666666666664
AL,2017,31,42,2017-10-22,60.55555555555556
AL,2017,32,43,2017-10-29,61.55555555555556
AL,2017,33,44,2017-11-05,62.22222222222222
AL,2017,34,45,2017-11-12,62.44444444444444
AL,2017,35,46,2017-11-19,63.0
AL,2017,36,47,2017-11-26,63.44444444444444
AL,2018,6,17,2018-04-29,0.1111111111111111
AL,2018,7,18,2018-05-06,1.6666666666666667
AL,2018,8,19,2018-05-13,4.777777777777778
AL,2018,9,20,2018-05-20,8.777777777777779
AL,2018,10,21,2018-05-27,10.555555555555555
AL,2018,11,22,2018-06-03,12.777777777777779
AL,2018,12,23,2018-06-10,14.444444444444445
AL,2018,13,24,2018-06-17,17.333333333333332
AL,2018,14,25,2018-06-24,21.22222222222222
AL,2018,15,26,2018-07-01,24.0
AL,2018,16,27,2018-07-08,25.666666666666668
AL,2018,17,28,2018-07-15,29.0
AL,2018,18,29,2018-07-22,34.111111111111114
AL,2018,19,30,2018-07-29,36.22222222222222
AL,2018,20,31,2018-08-05,38.0
AL,2018,21,32,2018-08-12,39.55555555555556
AL,2018,22,33,2018-08-19,40.333333333333336
AL,2018,23,34,2018-08-26,41.888888888888886
AL,2018,24,35,2018-09-02,45.77777777777778
AL,2018,25,36,2018-09-09,47.44444444444444
AL,2018,26,37,2018-09-16,50.111111111111114
AL,2018,27,38,2018-09-23,52.22222222222222
AL,2018,28,39,2018-09-30,53.666666666666664
AL,2018,29,40,2018-10-07,55.333333333333336
AL,2018,30,41,2018-10-14,58.111111111111114
AL,2018,31,42,2018-10-21,59.44444444444444
AL,2018,32,43,2018-10-28,60.111111111111114
AL,2018,33,44,2018-11-04,61.0
AL,2018,34,45,2018-11-11,61.44444444444444
AL,2018,35,46,2018-11-18,61.888888888888886
AL,2018,36,47,2018-11-25,62.333333333333336
AL,2019,7,18,2019-05-05,0.3333333333333333
AL,2019,8,19,2019-05-12,1.7777777777777777
AL,2019,9,20,2019-05-19,4.888888888888889
AL,2019,10,21,2019-05-26,9.222222222222221
AL,2019,11,22,2019-06-02,11.11111111111111
AL,2019,12,23,2019-06-09,12.333333333333334
AL,2019,13,24,2019-06-16,15.222222222222221
AL,2019,14,25,2019-06-23,19.11111111111111
AL,2019,15,26,2019-06-30,25.333333333333332
AL,2019,16,27,2019-07-07,27.444444444444443
AL,2019,17,28,2019-07-14,29.555555555555557
AL,2019,18,29,2019-07-21,34.0
AL,2019,19,30,2019-07-28,35.333333333333336
AL,2019,20,31,2019-08-04,37.111111111111114
AL,2019,21,32,2019-08-11,38.111111111111114
AL,2019,22,33,2019-08-18,39.888888888888886
AL,2019,23,34,2019-08-25,42.888888888888886
AL,2019,24,35,2019-09-01,44.333333333333336
