state_alpha,season,week,cal_week,week_ending,EXCELLENT,FAIR,GOOD,POOR,VERY POOR,INDEX,GE,PVP
CO,2016,10,21,2016-05-29,5.0,5.0,90.0,0.0,0.0,400.0,95.0,0.0
CO,2016,11,22,2016-06-05,7.0,6.0,87.0,0.0,0.0,401.0,94.0,0.0
CO,2016,12,23,2016-06-12,9.0,6.0,85.0,0.0,0.0,403.0,94.0,0.0
CO,2016,13,24,2016-06-19,9.0,8.0,83.0,0.0,0.0,401.0,92.0,0.0
CO,2016,14,25,2016-06-26,8.0,8.0,84.0,0.0,0.0,400.0,92.0,0.0
CO,2016,15,26,2016-07-03,9.0,7.0,84.0,0.0,0.0,402.0,93.0,0.0
CO,2016,16,27,2016-07-10,8.0,7.0,85.0,0.0,0.0,401.0,93.0,0.0
CO,2016,17,28,2016-07-17,8.0,8.0,84.0,0.0,0.0,400.0,92.0,0.0
CO,2016,18,29,2016-07-24,8.0,8.0,84.0,0.0,0.0,400.0,92.0,0.0
CO,2016,19,30,2016-07-31,8.0,8.0,84.0,0.0,0.0,400.0,92.0,0.0
CO,2016,20,31,2016-08-07,8.0,8.0,84.0,0.0,0.0,400.0,92.0,0.0
CO,2016,21,32,2016-08-14,8.0,8.0,84.0,0.0,0.0,400.0,92.0,0.0
CO,2016,22,33,2016-08-21,8.0,8.0,84.0,0.0,0.0,400.0,92.0,0.0
CO,2016,23,34,2016-08-28,9.0,8.0,83.0,0.0,0.0,401.0,92.0,0.0
CO,2016,24,35,2016-09-04,9.0,8.0,83.0,0.0,0.0,401.0,92.0,0.0
CO,2016,25,36,2016-09-11,9.0,8.0,83.0,0.0,0.0,401.0,92.0,0.0
CO,2017,9,20,2017-05-21,3.0,6.0,90.0,1.0,0.0,395.0,93.0,1.0
CO,2017,10,21,2017-05-28,3.0,6.0,90.0,1.0,0.0,395.0,93.0,1.0
CO,2017,11,22,2017-06-04,1.0,5.0,94.0,0.0,0.0,396.0,95.0,0.0
CO,2017,12,23,2017-06-11,3.0,26.0,71.0,0.0,0.0,377.0,74.0,0.0
CO,2017,13,24,2017-06-18,3.0,25.0,72.0,0.0,0.0,378.0,75.0,0.0
CO,2017,14,25,2017-06-25,3.0,17.0,79.0,1.0,0.0,384.0,82.0,1.0
CO,2017,15,26,2017-07-02,3.0,15.0,80.0,2.0,0.0,384.0,83.0,2.0
CO,2017,16,27,2017-07-09,2.0,21.0,73.0,4.0,0.0,373.0,75.0,4.0
CO,2017,17,28,2017-07-16,2.0,25.0,70.0,3.0,0.0,371.0,72.0,3.0
CO,2017,18,29,2017-07-23,5.0,20.0,73.0,2.0,0.0,381.0,78.0,2.0
CO,2017,19,30,2017-07-30,8.0,26.0,61.0,5.0,0.0,372.0,69.0,5.0
CO,2017,20,31,2017-08-06,5.0,26.0,62.0,7.0,0.0,365.0,67.0,7.0
CO,2017,21,32,2017-08-13,4.0,27.0,62.0,7.0,0.0,363.0,66.0,7.0
CO,2017,22,33,2017-08-20,4.0,28.0,61.0,7.0,0.0,362.0,65.0,7.0
CO,2017,23,34,2017-08-27,4.0,25.0,66.0,5.0,0.0,369.0,70.0,5.0
CO,2017,24,35,2017-09-03,4.0,27.0,61.0,8.0,0.0,361.0,65.0,8.0
CO,2018,9,20,2018-05-20,8.0,9.0,56.0,2.0,25.0,320.0,64.0,27.0
CO,2018,10,21,2018-05-27,8.0,9.0,45.0,3.0,35.0,288.0,53.0,38.0
