state_alpha,season,week,cal_week,week_ending,PROGRESS
CO,2016,1,12,2016-03-27,0.25
CO,2016,2,13,2016-04-03,0.875
CO,2016,3,14,2016-04-10,1.125
CO,2016,4,15,2016-04-17,2.625
CO,2016,5,16,2016-04-24,4.5
CO,2016,6,17,2016-05-01,8.375
CO,2016,7,18,2016-05-08,11.625
CO,2016,8,19,2016-05-15,13.375
CO,2016,9,20,2016-05-22,15.5
CO,2016,10,21,2016-05-29,18.875
CO,2016,11,22,2016-06-05,21.5
CO,2016,12,23,2016-06-12,25.25
CO,2016,13,24,2016-06-19,27.125
CO,2016,14,25,2016-06-26,29.375
CO,2016,15,26,2016-07-03,31.625
CO,2016,16,27,2016-07-10,37.875
CO,2016,17,28,2016-07-17,41.125
CO,2016,18,29,2016-07-24,42.375
CO,2016,19,30,2016-07-31,44.375
CO,2016,20,31,2016-08-07,46.125
CO,2016,21,32,2016-08-14,48.375
CO,2016,22,33,2016-08-21,50.75
CO,2016,23,34,2016-08-28,53.0
CO,2016,24,35,2016-09-04,54.75
CO,2016,25,36,2016-09-11,56.75
CO,2016,26,37,2016-09-18,57.875
CO,2016,27,38,2016-09-25,59.0
CO,2016,28,39,2016-10-02,60.125
CO,2016,29,40,2016-10-09,60.875
CO,2017,1,12,2017-03-26,0.375
CO,2017,2,13,2017-04-02,1.25
CO,2017,3,14,2017-04-09,1.375
CO,2017,4,15,2017-04-16,2.375
CO,2017,5,16,2017-04-23,4.25
CO,2017,6,17,2017-04-30,7.375
CO,2017,7,18,2017-05-07,12.0
CO,2017,8,19,2017-05-14,16.125
CO,2017,9,20,2017-05-21,18.75
CO,2017,10,21,2017-05-28,20.25
CO,2017,11,22,2017-06-04,21.375
CO,2017,12,23,2017-06-11,22.75
CO,2017,13,24,2017-06-18,25.0
CO,2017,14,25,2017-06-25,28.75
CO,2017,15,26,2017-07-02,31.875
CO,2017,16,27,2017-07-09,35.5
CO,2017,17,28,2017-07-16,37.0
CO,2017,18,29,2017-07-23,40.25
CO,2017,19,30,2017-07-30,43.625
CO,2017,20,31,2017-08-06,46.25
CO,2017,21,32,2017-08-13,48.125
CO,2017,22,33,2017-08-20,48.875
CO,2017,23,34,2017-08-27,51.375
CO,2017,24,35,2017-09-03,54.125
CO,2017,25,36,2017-09-10,56.5
CO,2017,26,37,2017-09-17,57.875
CO,2017,27,38,2017-09-24,58.375
CO,2017,28,39,2017-10-01,58.5
CO,2017,29,40,2017-10-08,58.75
CO,2018,1,12,2018-03-25,0.125
CO,2018,2,13,2018-04-01,1.0
CO,2018,3,14,2018-04-08,1.75
CO,2018,4,15,2018-04-15,4.875
CO,2018,5,16,2018-04-22,8.25
CO,2018,6,17,2018-04-29,11.125
CO,2018,7,18,2018-05-06,13.625
CO,2018,8,19,2018-05-13,17.875
CO,2018,9,20,2018-05-20,19.75
CO,2018,10,21,2018-05-27,21.375
CO,2018,11,22,2018-06-03,22.75
CO,2018,12,23,2018-06-10,24.625
CO,2018,13,24,2018-06-17,26.0
CO,2018,14,25,2018-06-24,27.5
CO,2018,15,26,2018-07-01,30.25
CO,2018,16,27,2018-07-08,31.0
CO,2018,17,28,2018-07-15,32.125
CO,2018,18,29,2018-07-22,36.125
CO,2018,19,30,2018-07-29,39.875
CO,2018,20,31,2018-08-05,44.0
CO,2018,21,32,2018-08-12,47.0
CO,2018,22,33,2018-08-19,52.375
CO,2018,23,34,2018-08-26,54.875
CO,2018,24,35,2018-09-02,56.0
CO,2018,25,36,2018-09-09,57.625
CO,2018,26,37,2018-09-16,58.875
CO,2018,27,38,2018-09-23,59.125
CO,2018,28,39,2018-09-30,59.625
ID,2016,2,13,2016-04-03,0.25
ID,2016,3,14,2016-04-10,3.75
ID,2016,4,15,2016-04-17,5.75
ID,2016,5,16,2016-04-24,9.875
ID,2016,6,17,2016-05-01,15.0
ID,2016,7,18,2016-05-08,20.25
ID,2016,8,19,2016-05-15,22.75
ID,2016,9,20,2016-05-22,23.75
ID,2016,10,21,2016-05-29,24.0
ID,2016,11,22,2016-06-05,24.5
ID,2016,12,23,2016-06-12,25.5
ID,2016,13,24,2016-06-19,30.125
ID,2016,14,25,2016-06-26,32.375
ID,2016,15,26,2016-07-03,34.25
ID,2016,16,27,2016-07-10,35.625
ID,2016,17,28,2016-07-17,36.5
ID,2016,18,29,2016-07-24,36.625
ID,2016,19,30,2016-07-31,37.25
ID,2016,20,31,2016-08-07,41.625
ID,2016,21,32,2016-08-14,43.625
ID,2016,22,33,2016-08-21,44.0
ID,2016,23,34,2016-08-28,45.875
ID,2016,24,35,2016-09-04,46.75
ID,2016,25,36,2016-09-11,48.125
ID,2016,26,37,2016-09-18,48.75
ID,2017,1,12,2017-03-26,0.375
ID,2017,2,13,2017-04-02,1.0
ID,2017,3,14,2017-04-09,2.375
ID,2017,4,15,2017-04-16,3.5
ID,2017,5,16,2017-04-23,7.5
ID,2017,6,17,2017-04-30,8.75
ID,2017,7,18,2017-05-07,11.25
ID,2017,8,19,2017-05-14,14.125
