state_alpha,season,week,cal_week,week_ending,EXCELLENT,FAIR,GOOD,POOR,VERY POOR,INDEX,GE,PVP
AL,2016,11,46,2015-11-15,0.0,11.0,84.0,5.0,0.0,379.0,84.0,5.0
AL,2016,12,47,2015-11-22,0.0,13.0,83.0,4.0,0.0,379.0,83.0,4.0
AL,2016,13,48,2015-11-29,0.0,12.0,84.0,4.0,0.0,380.0,84.0,4.0
AL,2016,30,13,2016-04-03,6.0,20.0,71.0,3.0,0.0,380.0,77.0,3.0
AL,2016,31,14,2016-04-10,6.0,29.0,63.0,2.0,0.0,373.0,69.0,2.0
AL,2016,32,15,2016-04-17,15.0,20.0,64.0,1.0,0.0,393.0,79.0,1.0
AL,2016,33,16,2016-04-24,23.0,17.0,59.0,1.0,0.0,404.0,82.0,1.0
AL,2016,34,17,2016-05-01,20.0,16.0,63.0,1.0,0.0,402.0,83.0,1.0
AL,2016,35,18,2016-05-08,15.0,16.0,69.0,0.0,0.0,399.0,84.0,0.0
AL,2016,36,19,2016-05-15,15.0,17.0,68.0,0.0,0.0,398.0,83.0,0.0
AL,2016,37,20,2016-05-22,13.0,16.0,68.0,3.0,0.0,391.0,81.0,3.0
AL,2016,38,21,2016-05-29,10.0,16.0,71.0,3.0,0.0,388.0,81.0,3.0
AL,2016,39,22,2016-06-05,9.0,20.0,68.0,3.0,0.0,383.0,77.0,3.0
AL,2016,40,23,2016-06-12,11.0,17.0,71.0,1.0,0.0,392.0,82.0,1.0
AL,2017,12,47,2016-11-27,0.0,5.0,0.0,70.0,25.0,180.0,0.0,95.0
AL,2017,30,13,2017-04-02,10.0,38.0,49.0,3.0,0.0,366.0,59.0,3.0
AL,2017,31,14,2017-04-09,10.0,37.0,50.0,3.0,0.0,367.0,60.0,3.0
AL,2017,32,15,2017-04-16,14.0,29.0,54.0,3.0,0.0,379.0,68.0,3.0
AL,2017,33,16,2017-04-23,15.0,29.0,53.0,3.0,0.0,380.0,68.0,3.0
AL,2017,34,17,2017-04-30,18.0,26.0,53.0,3.0,0.0,386.0,71.0,3.0
AL,2017,35,18,2017-05-07,17.0,22.0,56.0,5.0,0.0,385.0,73.0,5.0
