state_alpha,season,week,cal_week,week_ending,PROGRESS
AL,2016,4,39,2015-09-27,0.09090909090909091
AL,2016,5,40,2015-10-04,0.45454545454545453
AL,2016,6,41,2015-10-11,1.3636363636363635
AL,2016,7,42,2015-10-18,2.0
AL,2016,8,43,2015-10-25,2.8181818181818183
AL,2016,9,44,2015-11-01,4.181818181818182
AL,2016,10,45,2015-11-08,5.636363636363637
AL,2016,11,46,2015-11-15,8.0
AL,2016,12,47,2015-11-22,11.272727272727273
AL,2016,13,48,2015-11-29,14.181818181818182
AL,2016,30,13,2016-04-03,14.181818181818182
AL,2016,31,14,2016-04-10,15.090909090909092
AL,2016,32,15,2016-04-17,16.363636363636363
AL,2016,33,16,2016-04-24,20.181818181818183
AL,2016,34,17,2016-05-01,21.363636363636363
AL,2016,35,18,2016-05-08,22.363636363636363
AL,2016,36,19,2016-05-15,23.09090909090909
AL,2016,37,20,2016-05-22,23.727272727272727
AL,2016,38,21,2016-05-29,24.818181818181817
AL,2016,39,22,2016-06-05,26.09090909090909
AL,2016,40,23,2016-06-12,28.545454545454547
AL,2016,41,24,2016-06-19,31.0
AL,2016,42,25,2016-06-26,31.727272727272727
AL,2017,4,39,2016-10-02,0.0
AL,2017,5,40,2016-10-09,0.18181818181818182
AL,2017,6,41,2016-10-16,0.2727272727272727
AL,2017,7,42,2016-10-23,1.0
AL,2017,8,43,2016-10-30,1.3636363636363635
AL,2017,9,44,2016-11-06,1.8181818181818181
AL,2017,10,45,2016-11-13,4.181818181818182
AL,2017,11,46,2016-11-20,6.0
AL,2017,12,47,2016-11-27,7.454545454545454
AL,2017,30,13,2017-04-02,8.181818181818182
AL,2017,31,14,2017-04-09,9.545454545454545
AL,2017,32,15,2017-04-16,12.272727272727273
AL,2017,33,16,2017-04-23,15.090909090909092
AL,2017,34,17,2017-04-30,15.636363636363637
AL,2017,35,18,2017-05-07,15.909090909090908
AL,2017,36,19,2017-05-14,16.09090909090909
AL,2017,37,20,2017-05-21,16.90909090909091
AL,2017,38,21,2017-05-28,18.0
AL,2017,39,22,2017-06-04,19.272727272727273
AL,2017,40,23,2017-06-11,19.90909090909091
AL,2017,41,24,2017-06-18,23.636363636363637
AL,2017,42,25,2017-06-25,24.454545454545453
AL,2017,43,26,2017-07-02,25.0
AL,2018,4,39,2017-10-01,0.09090909090909091
AL,2018,5,40,2017-10-08,0.5454545454545454
AL,2018,6,41,2017-10-15,1.0909090909090908
AL,2018,7,42,2017-10-22,1.6363636363636365
AL,2018,8,43,2017-10-29,3.1818181818181817
AL,2018,9,44,2017-11-05,4.818181818181818
AL,2018,10,45,2017-11-12,7.454545454545454
AL,2018,11,46,2017-11-19,9.909090909090908
AL,2018,12,47,2017-11-26,12.363636363636363
AL,2018,30,13,2018-04-01,13.454545454545455
AL,2018,31,14,2018-04-08,14.909090909090908
AL,2018,32,15,2018-04-15,15.636363636363637
AL,2018,33,16,2018-04-22,17.727272727272727
AL,2018,34,17,2018-04-29,19.181818181818183
AL,2018,35,18,2018-05-06,20.636363636363637
AL,2018,36,19,2018-05-13,21.181818181818183
AL,2018,37,20,2018-05-20,21.818181818181817
AL,2018,38,21,2018-05-27,22.181818181818183
AL,2018,39,22,2018-06-03,22.363636363636363
AL,2018,40,23,2018-06-10,25.636363636363637
AL,2018,41,24,2018-06-17,28.818181818181817
AL,2018,42,25,2018-06-24,29.818181818181817
AL,2019,4,39,2018-09-30,0.0
AL,2019,5,40,2018-10-07,0.5454545454545454
AL,2019,6,41,2018-10-14,1.3636363636363635
AL,2019,7,42,2018-10-21,1.5454545454545454
AL,2019,8,43,2018-10-28,1.9090909090909092
AL,2019,9,44,2018-11-04,3.090909090909091
AL,2019,10,45,2018-11-11,3.909090909090909
AL,2019,11,46,2018-11-18,5.636363636363637
AL,2019,12,47,2018-11-25,8.181818181818182
AL,2019,30,13,2019-03-31,8.636363636363637
AL,2019,31,14,2019-04-07,9.818181818181818
AL,2019,32,15,2019-04-14,11.909090909090908
AL,2019,33,16,2019-04-21,13.636363636363637
AL,2019,34,17,2019-04-28,16.0
AL,2019,35,18,2019-05-05,16.545454545454547
AL,2019,36,19,2019-05-12,17.09090909090909
AL,2019,37,20,2019-05-19,17.90909090909091
AL,2019,38,21,2019-05-26,18.90909090909091
AL,2019,39,22,2019-06-02,19.545454545454547
AL,2019,40,23,2019-06-09,21.0
AL,2019,41,24,2019-06-16,22.727272727272727
AL,2019,42,25,2019-06-23,24.90909090909091
AL,2019,43,26,2019-06-30,25.545454545454547
AL,2020,3,38,2019-09-22,0.18181818181818182
AL,2020,4,39,2019-09-29,0.5454545454545454
AL,2020,5,40,2019-10-06,0.5454545454545454
AL,2020,6,41,2019-10-13,0.9090909090909091
AL,2020,7,42,2019-10-20,1.7272727272727273
AL,2020,8,43,2019-10-27,2.5454545454545454
AL,2020,9,44,2019-11-03,3.4545454545454546
AL,2020,10,45,2019-11-10,4.636363636363637
AL,2020,11,46,2019-11-17,8.181818181818182
AL,2020,12,47,2019-11-24,11.0
AL,2020,31,14,2020-04-05,12.636363636363637
AL,2020,32,15,2020-04-12,14.636363636363637
AL,2020,33,16,2020-04-19,17.545454545454547
AL,2020,34,17,2020-04-26,18.454545454545453
AL,2020,35,18,2020-05-03,19.363636363636363
AL,2020,36,19,2020-05-10,19.636363636363637
AL,2020,37,20,2020-05-17,21.181818181818183
AL,2020,38,21,2020-05-24,21.727272727272727
AL,2020,39,22,2020-05-31,22.363636363636363
AL,2020,40,23,2020-06-07,23.09090909090909
AL,2020,41,24,2020-06-14,24.636363636363637
AL,2020,42,25,2020-06-21,26.727272727272727
AL,2020,43,26,2020-06-28,28.09090909090909
AL,2020,44,27,2020-07-05,28.545454545454547
AL,2021,4,39,2020-09-27,0.09090909090909091
